xml_file_version,xml_file_version-WebEOC
rms_express_version,rms_express_version-WebEOC
submission_datetime,submission_datetime-WebEOC
senders_callsign,senders_callsign-WebEOC
grid_square,grid_square-WebEOC
display_form,display_form-WebEOC
reply_template,reply_template-WebEOC
msgto,msgto-WebEOC
msgcc,msgcc-WebEOC
msgsender,msgsender-WebEOC
msgsubject,msgsubject-WebEOC
msgbody,msgbody-WebEOC
msgp2p,msgp2p-WebEOC
msgisreply,msgisreply-WebEOC
msgisforward,msgisforward-WebEOC
msgisacknowledgement,msgisacknowledgement-WebEOC
msgseqnum,msgseqnum-WebEOC
incname,incname-WebEOC
agname,agname-WebEOC
datetime,datetime-WebEOC
reqtracknum,reqtracknum-WebEOC
parseme,parseme-WebEOC
qty1,qty1-WebEOC
kind1,kind1-WebEOC
type1,type1-WebEOC
item1,item1-WebEOC
reqdatetime1,reqdatetime1-WebEOC
estdatetime1,estdatetime1-WebEOC
cost1,cost1-WebEOC
supneed,supneed-WebEOC
duration,duration-WebEOC
reqloc1,reqloc1-WebEOC
reploc,reploc-webeoc
sub,sub-WebEOC
priority1,priority1-WebEOC
priority,priority-WebEOC
b12a,b12a-WebEOC
b12b,b12b-WebEOC
b12c,b12c-WebEOC
b13,b13-WebEOC
explain,explain-WebEOC
reqname,reqname-WebEOC
reqphone,reqphone-WebEOC
reqauth,reqauth-WebEOC
eocnum,eocnum-WebEOC
supname1,supname1-WebEOC
notes,notes-WebEOC
logrep,logrep-WebEOC
datetime1,datetime1-WebEOC
orderby,orderby-WebEOC
other,other-WebEOC
elevate,elevate-WebEOC
statenum,statenum-WebEOC
mutualnum,mutualnum-WebEOC
fincomm,fincomm-WebEOC
finrepname,finrepname-WebEOC
datetime2,datetime2-WebEOC
submit,submit-WebEOC